Genericname,Brandname,Dose,Doseunit,Route,Infusion,Cmax(μmol/L),Cmax(ng/mL),AUC(ng•hr/mL),Tmax(hr),T1/2(hr),Proteinbinding
Sonidegib,Odomzo,200,mg,PO,—,2.12,1030,22000,2–4,672,0.97
Sorafenib,Nexavar,400,mg,PO,—,20.1,9350,107000,2.5,23.8,0.99
Streptozocin,Zanosar,1500,mg/m2,IV,Push,1438,381400,72150,—,0.22,0
Sunitinibmalate,Sutent,50,mg,PO,—,0.181,72,1296,8.5,41–86,0.95
Tamoxifencitrate,Nolvadex,20,mg,PO,—,0.108,40,—,5,120–168,0.99
Tegafur,Utefos,50,mg/m2,PO,—,19,3803,26480,1,7.88,0
Temsirolimus,Torisel,25,mg,IV,30–60min,0.568,585,1627,—,17,0.87
Teniposide,Vumon,300–750,mg/m2,IV,72h,23.1,15200,—,—,—,0.99
Thalidomide,Thalomid,200,mg,PO,—,8.91,2300,23300,5.8,4.12,0.55
Thioguanine,Tabloid,40,mg/m2,PO,—,0.313,52,0.0979,1.5,—,0
Topotecan,Hycamtin,2.3,mg/m2,PO,—,0.015,6.3,22.7,—,3.49,0.35
Toremifene,Fareston,120,mg,PO,—,4.56,1850,115100,2.9,56.5,1
Trabectedin,Yondelis,1.5,mg/m2,IV,24hr,0.0024,1.8,56.8,—,175,0.97
Trametinib,Mekinist,2,mg,PO,—,0.021,13,69.7,2,3.9–4.8,0.97
Tretinoin,Vesanoid,45,mg/m2,PO,—,1.15,347,682,2.2,—,0.95
Triptorelin,TrelstarDepot,22.5,mg,IM,—,0.034,44,—,1–3,—,0
Valrubicin,Valstar,800,mg,Intra-cisternal,—,0.011,8,56.4,2–6,—,0.99
Vandetanib,Caprelsa,300,mg,PO,—,2.16,1025,20460,5,456,0.9
Vemurafenib,Zelboraf,960,mg,PO,—,127,62000,601000,3,57,0.99
Venetoclax,Venclexta,400,mg,PO,—,4.48,21000,32800,5–8,26,0.99
Vinblastine,Velban,1**,mg/m2,IV,Bolus,0.035,28,45,0.12,26.2,0.98
Vincristine,VincasarPFS,1,mg/m2,IV,Bolus,0.007,5.4,—,—,—,0.75
Vincristine(liposomal),Marqibo,2.25,mg/m2,IV,60min,1.479,1220,14566,—,7.66,0.75
Vinorelbine,Navelbine,25,mg/m2,IV,20min,0.811,632,585,—,21.4,0.89
Vismodegib,Erivedge,150,mg,PO,—,33.9,14282,2283446,—,96,0.99
Vorinostat,Zolinza,400,mg,PO,—,1.2,317,1110,1.5,2,0.71
Zoledronicacid,Zometa,4,mg,IV,15min,0.971,264,420,—,146,0.35
